app_id,app_name,total_reviews,total_positive,steam_consensus,Title,Platform,Metascore,NumberOfCriticReviews,url,Metascore_Normalized,delta
638970,Yakuza 0,19181,18355,0.9569365517960482,Yakuza 0,PC,86.0,26.0,https://www.metacritic.com/game/yakuza-0/critic-reviews/?platform=pc,0.86,0.09693655179604821
240,Counter-Strike: Source,43218,41351,0.956800407237725,Counter-Strike: Source,PC,88.0,9.0,https://www.metacritic.com/game/counter-strike-source/critic-reviews/?platform=pc,0.88,0.07680040723772497
264710,Subnautica,92479,88388,0.955762929962478,Subnautica,PC,87.0,42.0,https://www.metacritic.com/game/subnautica/critic-reviews/?platform=pc,0.87,0.08576292996247803
683320,GRIS,13520,12911,0.9549556213017752,GRIS,PC,84.0,44.0,https://www.metacritic.com/game/gris/critic-reviews/?platform=pc,0.84,0.11495562130177528
238320,Outlast,22991,21945,0.954503936322909,Outlast,PC,80.0,59.0,https://www.metacritic.com/game/outlast/critic-reviews/?platform=pc,0.8,0.15450393632290893
113200,The Binding of Isaac,26259,25054,0.9541109714764462,The Binding of Isaac,PC,84.0,30.0,https://www.metacritic.com/game/the-binding-of-isaac/critic-reviews/?platform=pc,0.84,0.11411097147644622
502800,SENRAN KAGURA ESTIVAL VERSUS,1119,1067,0.9535299374441466,Senran Kagura: Estival Versus,PC,71.0,7.0,https://www.metacritic.com/game/senran-kagura-estival-versus/critic-reviews/?platform=pc,0.71,0.24352993744414664
743450,Monster Prom,6112,5820,0.9522251308900525,Monster Prom,PC,73.0,12.0,https://www.metacritic.com/game/monster-prom/critic-reviews/?platform=pc,0.73,0.22222513089005247
379720,DOOM,81046,77095,0.951249907459961,DOOM,PC,85.0,48.0,https://www.metacritic.com/game/doom/critic-reviews/?platform=pc,0.85,0.10124990745996099
55230,Saints Row: The Third,23661,22460,0.9492413676514097,Saints Row: The Third,PC,84.0,22.0,https://www.metacritic.com/game/saints-row-the-third/critic-reviews/?platform=pc,0.84,0.10924136765140968
477160,Human: Fall Flat,24684,23409,0.9483471074380164,Human: Fall Flat,PC,70.0,22.0,https://www.metacritic.com/game/human-fall-flat/critic-reviews/?platform=pc,0.7,0.24834710743801647
203160,Tomb Raider,55360,52342,0.9454841040462428,Tomb Raider,PC,86.0,18.0,https://www.metacritic.com/game/tomb-raider/critic-reviews/?platform=pc,0.86,0.08548410404624285
40800,Super Meat Boy,14414,13607,0.9440127653670044,Super Meat Boy,PC,87.0,11.0,https://www.metacritic.com/game/super-meat-boy/critic-reviews/?platform=pc,0.87,0.07401276536700441
728880,Overcooked! 2,6747,6366,0.9435304579813252,Overcooked! 2,PC,81.0,8.0,https://www.metacritic.com/game/overcooked-2/critic-reviews/?platform=pc,0.81,0.13353045798132512
233860,Kenshi,23235,21893,0.9422423068646438,Kenshi,PC,75.0,10.0,https://www.metacritic.com/game/kenshi/critic-reviews/?platform=pc,0.75,0.19224230686464383
