app_id,app_name,total_reviews,total_positive,steam_consensus,Title,Platform,Metascore,NumberOfCriticReviews,url,Metascore_Normalized,delta
481510,Night in the Woods,8419,7919,0.94061052381518,Night in the Woods,PC,88.0,30.0,https://www.metacritic.com/game/night-in-the-woods/,0.88,0.06061052381517995
1158310,Crusader Kings III,21903,20596,0.9403278089759394,Crusader Kings III,PC,91.0,61.0,https://www.metacritic.com/game/crusader-kings-iii/,0.91,0.03032780897593934
594570,Total War: WARHAMMER II,47822,44952,0.9399857806030697,Total War: WARHAMMER II,PC,87.0,69.0,https://www.metacritic.com/game/total-war-warhammer-ii/,0.87,0.0699857806030697
8870,BioShock Infinite,50275,47242,0.9396718050721035,BioShock Infinite,PC,94.0,68.0,https://www.metacritic.com/game/bioshock-infinite/,0.94,-0.00032819492789648574
200900,Cave Story+,4805,4506,0.9377731529656608,Cave Story,PC,89.0,25.0,https://www.metacritic.com/game/cave-story/,0.89,0.04777315296566076
590380,Into the Breach,7902,7404,0.9369779802581625,Into the Breach,PC,90.0,56.0,https://www.metacritic.com/game/into-the-breach/,0.9,0.03697798025816246
291860,Pit People,4162,3899,0.9368092263334935,Pit People,PC,78.0,15.0,https://www.metacritic.com/game/pit-people/,0.78,0.15680922633349348
322110,20XX,2593,2429,0.9367527959892017,20XX,PC,77.0,14.0,https://www.metacritic.com/game/20xx/,0.77,0.16675279598920167
239140,Dying Light,62179,58240,0.9366506376750993,Dying Light,PC,74.0,58.0,https://www.metacritic.com/game/dying-light/,0.74,0.19665063767509927
666140,My Time At Portia,10831,10141,0.9362939710091405,My Time At Portia,PC,73.0,37.0,https://www.metacritic.com/game/my-time-at-portia/,0.73,0.2062939710091405
428550,Momodora: Reverie Under the Moonlight,3689,3433,0.9306044998644619,Momodora: Reverie Under the Moonlight,PC,76.0,22.0,https://www.metacritic.com/game/momodora-reverie-under-the-moonlight/,0.76,0.1706044998644619
418370,Resident Evil 7 Biohazard,13839,12877,0.9304863068140762,Resident Evil 7: biohazard,PC,86.0,100.0,https://www.metacritic.com/game/resident-evil-7-biohazard/,0.86,0.0704863068140762
673950,Farm Together,3478,3236,0.9304197814836113,Farm Together,PC,77.0,4.0,https://www.metacritic.com/game/farm-together/,0.77,0.16041978148361125
332200,Axiom Verge,3052,2835,0.9288990825688074,Axiom Verge,PC,84.0,61.0,https://www.metacritic.com/game/axiom-verge/,0.84,0.08889908256880741
609320,FAR: Lone Sails,3834,3556,0.927490871152843,FAR: Lone Sails,PC,80.0,24.0,https://www.metacritic.com/game/far-lone-sails/,0.8,0.12749087115284297
