app_id,app_name,review_count,positive_reviews,negative_reviews,recommendation_rate,sampled_negative,sampled_positive
428550,Momodora: Reverie Under the Moonlight,3689,3433,256,93.06044998644619,150,150
690830,Foundation,3665,3174,491,86.60300136425649,150,150
704850,Thief Simulator,3592,3109,483,86.55345211581292,150,150
673950,Farm Together,3478,3236,242,93.04197814836112,150,150
677120,Heroes of Hammerwatch,3351,3008,343,89.76424947776783,150,150
382310,Eco,3254,2554,700,78.4880147510756,150,150
1056960,Wolfenstein: Youngblood,3228,1540,1688,47.707558859975215,150,150
1170880,Grimm's Hollow,3102,3049,53,98.29142488716957,46,150
332200,Axiom Verge,3052,2835,217,92.88990825688073,150,150
236510,Takedown: Red Sabre,3031,1093,1938,36.06070603761135,150,150
503940,Railway Empire,2983,2362,621,79.18203151190077,150,150
787480,Phoenix Wright: Ace Attorney Trilogy,2981,2928,53,98.2220731298222,48,150
1240210,There Is No Game: Wrong Dimension,2973,2895,78,97.37638748738648,75,150
530070,Train Sim World® 2020,2895,2075,820,71.67530224525044,150,150
282560,RollerCoaster Tycoon World,2862,711,2151,24.842767295597483,150,150
572410,Steel Division: Normandy 44,2841,2063,778,72.61527631115804,150,150
701160,Kingdom Two Crowns,2818,2438,380,86.5152590489709,150,150
593600,PixARK,2803,1842,961,65.71530503032466,150,150
753650,Due Process,2705,2333,372,86.24768946395564,150,150
297130,Titan Souls,2633,1811,822,68.7808583364983,150,150
272270,Torment: Tides of Numenera,2601,1794,807,68.97347174163784,150,150
322110,20XX,2593,2429,164,93.67527959892017,150,150
857980,Void Bastards,2556,2225,331,87.05007824726134,150,150
595520,FINAL FANTASY XII THE ZODIAC AGE,2553,2274,279,89.0716803760282,150,150
1017900,Age of Empires: Definitive Edition,2527,2025,502,80.13454689354967,150,150
858210,Nova Drift,2499,2458,41,98.359343737495,40,150
543900,METAL GEAR SURVIVE,2460,1610,850,65.44715447154472,150,150
788260,Rules Of Survival,2456,1497,959,60.9527687296417,150,150
412830,STEINS;GATE,2335,2246,89,96.18843683083512,86,150
613830,CHRONO TRIGGER,2317,1955,362,84.3763487268019,150,150
258180,Deus Ex: The Fall,2238,702,1536,31.367292225201073,150,150
1180380,Stay Out,2218,859,1359,38.72858431018936,150,150
275390,Guacamelee! Super Turbo Championship Edition,2203,2013,190,91.37539718565593,150,150
620590,Ancestors Legacy,2137,1595,542,74.63734206832008,150,150
405710,Staxel,2125,1662,463,78.21176470588236,150,150
541210,Cold Waters,2072,1779,293,85.85907335907336,150,150
546050,Puyo Puyo™Tetris® ,2070,1865,205,90.09661835748793,150,150
555220,Detention,2046,1974,72,96.48093841642229,67,150
671510,Desolate,1939,1343,596,69.26250644662197,150,150
619080,SOS,1891,474,1417,25.066102591221576,150,150
671440,Rise of Industry,1881,1445,436,76.82083997873471,150,150
899440,GOD EATER 3,1842,1627,215,88.32790445168295,150,150
569860,Thimbleweed Park,1815,1682,133,92.67217630853995,131,150
677160,We Were Here Too,1812,1447,365,79.85651214128035,150,150
598330,SimAirport,1811,1471,340,81.22584207620099,150,150
1015500,WWE 2K20,1783,656,1127,36.791923724060574,150,150
357190,Ultimate Marvel vs. Capcom 3,1693,1530,163,90.37212049616066,147,150
417290,Ghost of a Tale,1662,1515,147,91.15523465703971,143,150
543460,Dead Rising 4,1607,832,775,51.77349097697573,150,150
688130,Pogostuck: Rage With Your Friends,1560,1328,232,85.12820512820512,150,150
355790,Styx: Shards of Darkness,1558,1243,315,79.78177150192555,150,150
526160,The Wild Eight,1504,1101,403,73.20478723404256,150,150
393520,Iconoclasts,1492,1275,217,85.45576407506702,150,150
631510,Devil May Cry HD Collection,1439,1315,124,91.38290479499652,119,150
247240,Volgarr the Viking,1427,1116,311,78.20602662929223,150,150
817130,WWE 2K19,1308,890,418,68.0428134556575,150,150
723390,Hunt Down The Freeman,1291,508,783,39.349341595662274,150,150
632350,Cyberdimension Neptunia: 4 Goddesses Online,1282,1071,211,83.54134165366615,150,150
753420,Dungreed,1238,1126,112,90.95315024232633,103,150
730310,DYNASTY WARRIORS 9,1236,603,633,48.786407766990294,150,150
792990,Identity,1222,241,981,19.72176759410802,150,150
7510,X-Blades,1204,625,579,51.91029900332226,150,150
583470,The End Is Nigh,1189,1083,106,91.08494533221194,100,150
748490,The Legend of Heroes: Trails of Cold Steel II,1160,1117,43,96.29310344827586,43,150
637670,Secret of Mana,1159,815,344,70.31924072476272,150,150
629910,Clicker Heroes 2,1131,742,389,65.60565870910699,150,150
502800,SENRAN KAGURA ESTIVAL VERSUS,1119,1067,52,95.35299374441466,47,150
400940,Budget Cuts,1113,865,248,77.71787960467206,150,150
334040,Down To One,1111,432,679,38.88388838883888,150,150
390340,Umbrella Corps,1055,305,750,28.90995260663507,150,150
686600,Rapture Rejects,958,319,639,33.298538622129435,150,150
502280,BERSERK and the Band of the Hawk,948,749,199,79.0084388185654,150,150
501080,Fishing: Barents Sea,909,692,217,76.12761276127613,150,150
696170,SENRAN KAGURA Peach Beach Splash,875,729,146,83.31428571428572,139,150
352550,Urban Empire,848,245,603,28.891509433962263,150,150
732810,Slipstream,834,731,103,87.64988009592327,100,150
825630,STEINS;GATE 0,775,738,37,95.2258064516129,36,150
611760,Don't Escape: 4 Days to Survive,767,754,13,98.30508474576271,10,150
510510,WWE 2K17,735,406,329,55.23809523809524,150,150
758190,Dragon Cliff 龙崖,714,614,100,85.99439775910363,94,150
495560,Farm Manager 2018,653,434,219,66.4624808575804,150,150
524580,Fairy Fencer F Advent Dark Force,609,502,107,82.43021346469622,102,150
619290,Out of the Park Baseball 19,572,496,76,86.7132867132867,73,150
551730,Toukiden 2,521,412,109,79.07869481765835,104,150
385560,Shadow Complex Remastered,385,323,62,83.8961038961039,60,150
574050,DRAGON QUEST HEROES™ II,348,240,108,68.96551724137932,105,150
1144400,Senren＊Banka,271,264,7,97.41697416974169,7,150
772540,Battle Royale Trainer,228,165,63,72.36842105263158,53,150
875210,三国群英传8 Heroes of the Three Kingdoms 8,65,41,24,63.07692307692308,20,24
454200,Neon Hardcorps,61,21,40,34.42622950819672,32,12
